fold,accuracy,macro_f1,weighted_f1,test_records,train_record_count,test_record_count,overlap_count
1,0.8271929824561404,0.4655271074523307,0.824673319983655,"['100', '101', '102', '104', '107', '109', '111', '200', '201', '215', '217', '228']",36,12,0
2,0.7527036412342494,0.568770994344757,0.7923810405899057,"['106', '112', '114', '124', '210', '221', '230', '232', '233']",39,9,0
3,0.8845333201012257,0.7796061452234987,0.8898468251915935,"['113', '116', '121', '205', '209', '214', '220', '223', '231']",39,9,0
4,0.7126841609206805,0.44388439970028826,0.7536298345136672,"['105', '118', '119', '123', '202', '203', '207', '222', '234']",39,9,0
5,0.8249677611348081,0.3622288237144126,0.8442904562897681,"['103', '108', '115', '117', '122', '208', '212', '213', '219']",39,9,0
